Date,Balance,
23/02/2017,2816.22,
24/02/2017,2796.22,
25/02/2017,2794.22,
25/02/2017,2793.22,
26/02/2017,2786.27,
27/02/2017,2783.91,
27/02/2017,2780.91,
27/02/2017,2779.21,
27/02/2017,2778.21,
27/02/2017,2777.16,
27/02/2017,2776.16,
28/02/2017,2774.16,
01/03/2017,2772.16,
02/03/2017,2770.16,
02/03/2017,2768.46,
02/03/2017,2748.46,
02/03/2017,2747.47,
02/03/2017,2746.72,
02/03/2017,2693.14,
03/03/2017,2692.29,
03/03/2017,2691.29,
04/03/2017,2690.27,
04/03/2017,2689.48,
08/03/2017,2684.48,
08/03/2017,2644.48,
09/03/2017,2544.48,
11/03/2017,2541.82,
11/03/2017,2540.46,
11/03/2017,2539.46,
11/03/2017,2538.00,
12/03/2017,2532.00,
13/03/2017,2529.54,
14/03/2017,2528.54,
14/03/2017,2527.89,
14/03/2017,2507.89,
15/03/2017,2492.89,
16/03/2017,2481.24,
16/03/2017,2492.89,
16/03/2017,2476.09,
16/03/2017,2456.09,
16/03/2017,2455.09,
16/03/2017,2450.09,
16/03/2017,2449.04,
16/03/2017,2447.04,
17/03/2017,2427.04,
18/03/2017,2421.04,
18/03/2017,2418.99,
18/03/2017,2416.84,
18/03/2017,2409.79,
18/03/2017,2389.79,
18/03/2017,2376.29,
18/03/2017,2374.34,
18/03/2017,2359.64,
18/03/2017,2356.64,
18/03/2017,2355.14,
18/03/2017,2353.64,
19/03/2017,2352.64,
19/03/2017,2351.18,
23/03/2017,2350.18,
23/03/2017,2347.18,
23/03/2017,2346.38,
25/03/2017,2326.38,
25/03/2017,2306.38,
28/03/2017,2305.85,
28/03/2017,2304.39,
28/03/2017,2303.70,
29/03/2017,2303.17,
30/03/2017,2283.17,
31/03/2017,2281.67,
01/04/2017,2280.37,
01/04/2017,2278.37,
01/04/2017,2258.37,
03/04/2017,2257.35,
03/04/2017,2256.40,
04/04/2017,2309.98,
06/04/2017,2289.98,
07/04/2017,2269.98,
08/04/2017,1969.98,
10/04/2017,1967.48,
10/04/2017,1966.53,
10/04/2017,1965.04,
11/04/2017,1964.05,
11/04/2017,1962.56,
11/04/2017,1960.42,
12/04/2017,1910.42,
13/04/2017,1895.42,
14/04/2017,1891.42,
14/04/2017,1890.47,
14/04/2017,1889.26,
14/04/2017,1886.97,
14/04/2017,1884.53,
17/04/2017,1883.84,
17/04/2017,1882.85,
17/04/2017,1881.35,
17/04/2017,1880.40,
17/04/2017,1879.01,
19/04/2017,1779.01,
19/04/2017,1719.01,
20/04/2017,1699.01,
20/04/2017,1679.01,
20/04/2017,1674.01,check
21/04/2017,1635.76,
25/04/2017,1595.76,
26/04/2017,1590.76,
29/04/2017,1567.87,
30/04/2017,1562.87,
03/05/2017,1557.87,
04/05/2017,1555.09,
04/05/2017,1554.09,
04/05/2017,1549.34,
05/05/2017,1498.24,
06/05/2017,1487.93,
07/05/2017,1481.93,
07/05/2017,1478.93,
07/05/2017,1475.93,
07/05/2017,1473.93,
09/05/2017,1458.93,
09/05/2017,1456.33,
10/05/2017,1436.33,
10/05/2017,1431.33,
10/05/2017,1427.33,
11/05/2017,1416.33,
11/05/2017,1413.33,
11/05/2017,1405.35,
11/05/2017,1396.37,
11/05/2017,1385.38,
11/05/2017,1353.66,
11/05/2017,1350.91,
11/05/2017,1030.91,
11/05/2017,1018.11,
11/05/2017,1016.76,
11/05/2017,966.76,
11/05/2017,946.60,
06/06/2017,1234.57,
23/06/2017,1219.97,
27/06/2017,1218.97,
27/06/2017,1216.97,
04/07/2017,1215.97,
21/07/2017,1206.97,
21/07/2017,1194.97,
04/08/2017,1294.97,
08/08/2017,4294.97,
11/08/2017,4279.97,
11/08/2017,4277.97,
12/08/2017,4277.03,
12/08/2017,4274.03,
12/08/2017,4273.34,
12/08/2017,4273.05,
12/08/2017,4270.75,
13/08/2017,4263.10,
15/08/2017,4248.20,
15/08/2017,4246.40,
15/08/2017,4242.10,
15/08/2017,4241.11,
15/08/2017,4237.13,
18/08/2017,4234.44,
18/08/2017,4233.75,
18/08/2017,4232.75,
18/08/2017,4229.90,
18/08/2017,4227.41,
18/08/2017,4223.42,
18/08/2017,4212.27,
18/08/2017,4210.04,
18/08/2017,4208.29,
18/08/2017,4196.35,
18/08/2017,4180.73,
18/08/2017,4169.73,
18/08/2017,4159.73,
19/08/2017,4157.54,
19/08/2017,4156.05,
19/08/2017,4154.15,
19/08/2017,4152.15,
19/08/2017,4149.50,
19/08/2017,4148.50,
19/08/2017,4145.51,
19/08/2017,4143.52,
19/08/2017,4141.68,
19/08/2017,4140.19,
19/08/2017,4135.60,
19/08/2017,4134.71,
19/08/2017,4134.54,
19/08/2017,4134.32,
21/08/2017,4133.47,
22/08/2017,6923.47,
22/08/2017,6920.62,
22/08/2017,6918.43,
22/08/2017,6909.93,
23/08/2017,3166.93,
23/08/2017,3164.93,
24/08/2017,3154.93,
25/08/2017,3153.94,
25/08/2017,3147.35,
25/08/2017,3146.46,
29/08/2017,4146.46,
30/08/2017,4142.29,
01/09/2017,4140.00,
01/09/2017,4136.85,
01/09/2017,4135.85,
01/09/2017,4130.81,
01/09/2017,4129.82,
01/09/2017,4128.53,
01/09/2017,4121.94,
01/09/2017,4121.05,
01/09/2017,3806.05,
04/09/2017,3796.05,
04/09/2017,3791.05,
05/09/2017,3771.05,
07/09/2017,3751.05,
08/09/2017,5751.05,
08/09/2017,3494.05,
09/09/2017,3488.05,
09/09/2017,3482.05,
09/09/2017,3479.20,
10/09/2017,3478.20,
11/09/2017,3475.91,
11/09/2017,3474.91,
11/09/2017,3466.76,
13/09/2017,3446.76,
13/09/2017,3424.76,
16/09/2017,3404.76,
18/09/2017,3399.76,
18/09/2017,3394.76,
18/09/2017,3392.47,
18/09/2017,3392.22,
18/09/2017,3390.72,
19/09/2017,3387.72,
19/09/2017,3376.52,
19/09/2017,3368.12,
19/09/2017,3363.12,
20/09/2017,3361.12,
21/09/2017,3360.12,
21/09/2017,3357.82,
22/09/2017,3351.23,
22/09/2017,3350.54,
22/09/2017,3347.69,
22/09/2017,3346.29,
23/09/2017,3326.29,
26/09/2017,3316.29,
27/09/2017,3016.29,
27/09/2017,2996.29,
27/09/2017,2990.29,
29/09/2017,2984.29,
29/09/2017,2983.54,
29/09/2017,2982.79,
29/09/2017,2981.39,
29/09/2017,2980.70,
29/09/2017,2980.01,
30/09/2017,2665.01,
01/10/2017,2662.72,
01/10/2017,2662.47,
01/10/2017,2656.47,
06/10/2017,2655.47,
06/10/2017,2653.97,
06/10/2017,2642.07,
06/10/2017,2624.57,
06/10/2017,2617.98,
06/10/2017,2617.09,
06/10/2017,2615.69,
06/10/2017,2592.70,
08/10/2017,2572.18,
08/10/2017,2568.38,
08/10/2017,2548.38,
08/10/2017,2541.54,
08/10/2017,2534.70,
08/10/2017,2517.60,
08/10/2017,2510.60,
09/10/2017,2509.60,
09/10/2017,2507.50,
11/10/2017,2503.55,
12/10/2017,2453.55,
14/10/2017,2450.05,
14/10/2017,2423.06,
14/10/2017,2396.07,
14/10/2017,2394.78,
14/10/2017,2393.89,
14/10/2017,2389.59,
15/10/2017,2387.30,
15/10/2017,2384.61,
15/10/2017,2383.21,
15/10/2017,2380.41,
15/10/2017,2413.51,
17/10/2017,2383.51,
17/10/2017,2367.11,
20/10/2017,2363.91,
21/10/2017,2361.62,
21/10/2017,2360.83,
21/10/2017,2359.34,
21/10/2017,2357.84,\+8 something
23/10/2017,2356.40,
23/10/2017,2352.45,
25/10/2017,2351.76,
25/10/2017,2351.28,
25/10/2017,2348.91,
29/10/2017,2347.46,
29/10/2017,2345.17,
29/10/2017,2343.69,
29/10/2017,2342.75,
29/10/2017,2342.06,
30/10/2017,2332.06,
31/10/2017,2583.57,
31/10/2017,2268.57,
02/11/2017,2262.67,
02/11/2017,2261.98,
02/11/2017,2258.82,
03/11/2017,2253.32,
03/11/2017,2249.02,
05/11/2017,2246.33,
05/11/2017,2243.33,
05/11/2017,2241.33,
05/11/2017,2239.04,
07/11/2017,2229.04,
08/11/2017,2227.04,
08/11/2017,2226.39,
08/11/2017,2225.70,
08/11/2017,2224.52,
10/11/2017,2204.52,
12/11/2017,2202.52,
12/11/2017,2200.23,
12/11/2017,2198.49,
14/11/2017,2196.12,
14/11/2017,2194.94,
14/11/2017,2194.25,
14/11/2017,2191.89,
14/11/2017,2171.89,
14/11/2017,2161.39,
17/11/2017,2121.39,
19/11/2017,2118.39,
19/11/2017,2117.60,
19/11/2017,2115.31,
19/11/2017,2114.15,
19/11/2017,2113.16,
20/11/2017,2109.16,
20/11/2017,2107.66,
20/11/2017,2107.01,
20/11/2017,2106.32,
20/11/2017,2105.57,
22/11/2017,2104.57,
24/11/2017,2101.57,
24/11/2017,2098.57,
24/11/2017,2094.57,
24/11/2017,2088.07,
24/11/2017,2083.07,
24/11/2017,2076.68,
24/11/2017,2072.69,
24/11/2017,2068.70,
24/11/2017,2046.30,
24/11/2017,2040.30,
24/11/2017,2036.00,
24/11/2017,2006.35,
24/11/2017,1996.05,
24/11/2017,1984.85,
24/11/2017,1956.15,
24/11/2017,1883.25,
24/11/2017,1871.10,
24/11/2017,1867.10,
25/11/2017,1866.10,
26/11/2017,1861.92,
26/11/2017,1857.92,
26/11/2017,1857.07,
26/11/2017,1856.13,
26/11/2017,1853.84,
28/11/2017,1853.31,
28/11/2017,1852.62,
28/11/2017,1851.85,
29/11/2017,1536.85,
29/11/2017,1531.85,
29/11/2017,1557.11,
30/11/2017,1552.11,
04/12/2017,1550.95,
04/12/2017,1548.66,
04/12/2017,1545.87,
04/12/2017,1543.87,
04/12/2017,1542.57,
04/12/2017,1540.57,
04/12/2017,1535.57,
04/12/2017,1515.57,
05/12/2017,1495.57,
06/12/2017,1490.57,
08/12/2017,1489.57,
09/12/2017,1487.57,
09/12/2017,1486.80,
09/12/2017,1486.11,
09/12/2017,1484.82,
10/12/2017,1481.24,
10/12/2017,1478.95,
10/12/2017,1478.16,
13/12/2017,1473.16,
14/12/2017,1467.16,
14/12/2017,1464.16,
16/12/2017,1457.21,
16/12/2017,1453.26,
17/12/2017,1452.43,
17/12/2017,1451.66,
19/12/2017,1437.81,
19/12/2017,1427.81,
20/12/2017,1425.52,
20/12/2017,1423.52,
20/12/2017,1421.52,
22/12/2017,1420.75,
22/12/2017,1419.09,
22/12/2017,1437.33,
23/12/2017,1436.17,
23/12/2017,1435.18,
23/12/2017,1433.68,
23/12/2017,1430.53,
24/12/2017,1429.24,
24/12/2017,1427.58,
24/12/2017,1426.81,
24/12/2017,1426.11,
24/12/2017,1425.66,
24/12/2017,1423.66,
24/12/2017,1422.76,
25/12/2017,1107.76,
26/12/2017,1099.16,
26/12/2017,1073.66,
27/12/2017,4073.66,
27/12/2017,2588.66,
27/12/2017,2585.87,
27/12/2017,2583.58,
27/12/2017,2582.08,
29/12/2017,2581.31,
29/12/2017,2579.65,
29/12/2017,2577.66,
01/01/2018,2571.66,
01/01/2018,2570.16,
01/01/2018,2568.66,
01/01/2018,2567.16,
01/01/2018,2563.16,
02/01/2018,2561.69,
02/01/2018,2559.40,
02/01/2018,2558.46,
02/01/2018,2557.69,
02/01/2018,2555.20,
03/01/2018,2554.28,
03/01/2018,2541.54,
03/01/2018,2505.00,
03/01/2018,2501.00,
05/01/2018,2499.50,
05/01/2018,2498.00,
05/01/2018,2495.00,
05/01/2018,2459.00,
06/01/2018,2429.00,
07/01/2018,2427.53,
07/01/2018,2426.37,
07/01/2018,2424.08,
07/01/2018,2421.09,
07/01/2018,2420.30,
07/01/2018,2419.51,
09/01/2018,2316.50,
13/01/2018,2314.92,
13/01/2018,2314.13,
13/01/2018,2311.84,
13/01/2018,2309.05,
13/01/2018,2307.58,
15/01/2018,2300.58,
17/01/2018,2299.58,
17/01/2018,2297.58,
18/01/2018,2260.13,
18/01/2018,2257.44,
18/01/2018,2255.89,
19/01/2018,2230.89,
19/01/2018,2224.89,
19/01/2018,2221.89,
19/01/2018,2218.47,
19/01/2018,2216.32,
